Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000541355821538692,-0.000113244311722492,0.00631855141572124,0,0,0,0.528835123133918,0.000144318794843308,9.75155920188753E-09,-8.90423944453606E-07,0.000470425094456931,-3.55557287323221E-08,0.00057371665052763,0,0,0,0,0,0,package://hexapod_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/base_link.STL,,hexapod_body-1;leg_1-1;leg_1-2;leg_1-3;leg_1-4;leg_1-5;leg_1-6,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,0.0127016129333694,-1.24853520894596E-05,-0.0157088713483309,0,0,0,0.0387549710715716,8.27152031760139E-06,1.72072898032915E-08,2.24097819850192E-06,2.20161284574366E-05,-1.48596641014239E-09,2.77500439326524E-05,0,0,0,0,0,0,package://hexapod_description/meshes/lidar_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/lidar_link.STL,,YDLIDAR_X2_Assy-1,lidar_cs,lidar_joint,lidar_joint,fixed,0.0455500000000008,0,0.07635,0,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
imu_link,-0.00103689884799777,5.92360608713816E-05,-0.00122236223464343,0,0,0,0.000627032096889045,3.35794413113823E-08,-6.69969308717675E-15,-1.78340459413028E-14,1.21854567187647E-08,1.37568702640445E-15,4.55012226676811E-08,0,0,0,0,0,0,package://hexapod_description/meshes/imu_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/imu_link.STL,,3D_PCB_MPU6500-1,imu_cs,imu_joint,imu_joint,fixed,0.000105993141985894,0,0.01505,0,0,0,base_link,0,0,0,,,,,,,,,,,,
coxa1_link,0.0209415537659286,-0.000684770999468062,0.0228008660035498,0,0,0,0.0149522376369557,1.92331382569808E-06,-9.89347318719964E-09,-7.16190371596728E-09,2.05049642179589E-06,-2.26510185604139E-11,2.0560870538772E-06,0,0,0,0,0,0,package://hexapod_description/meshes/coxa1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/coxa1_link.STL,,joint-1,coxa1_cs,coxa1_joint,coxa1_joint,revolute,0.121195903294573,0.060665246712167,-0.0221499999999985,0,0,0.748071247328702,base_link,0,0,-1,0,0,-1.0472,1.0472,,,,,,,,
femur1_link,0.0338552747728894,-7.7715611723761E-16,0.0214450718735523,0,0,0,0.0594309738157123,5.84328514864472E-06,-1.24439134940434E-15,9.27662764740713E-22,1.41910518050068E-05,3.33674085950812E-20,1.3298292867323E-05,0,0,0,0,0,0,package://hexapod_description/meshes/femur1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/femur1_link.STL,,leg_2-1,femur1_cs,femur1_joint,femur1_joint,revolute,0.0416,0.0223000000000001,0.0223,1.57079632679496,-0.785398163397445,0,coxa1_link,0,0,1,0,0,0.7854,-2.3562,,,,,,,,
tibia1_link,0.0590007960502528,1.17541643132046E-05,0.0231485958132373,0,0,0,0.0177903764535732,1.25068638966138E-06,2.26377289504991E-10,-4.10715036751458E-08,1.47079812768053E-05,7.86982019038548E-13,1.42098210150457E-05,0,0,0,0,0,0,package://hexapod_description/meshes/tibia1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/tibia1_link.STL,,foot-1,tibia1_cs,tibia1_joint,tibia1_joint,revolute,0.0676800000000025,0,0,0,0,-1.5707963267949,femur1_link,0,0,-1,0,0,-0.7854,3.1416,,,,,,,,
coxa2_link,0.020942,-0.00068477,0.022801,0,0,0,0.014952,1.9233E-06,-9.8934E-09,-7.1619E-09,2.0505E-06,-2.2634E-11,2.0561E-06,0,0,0,0,0,0,package://hexapod_description/meshes/coxa2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod_description/meshes/coxa2_link.STL,,joint-2,coxa2_cs,coxa2_joint,coxa2_joint,revolute,0,0.0866973593128809,-0.0221499999999984,0,0,1.53346941072615,base_link,0,0,-1,0,0,0,0,,,,,,,,
femur2_link,0.033855,6.266E-13,0.021445,0,0,0,0.059431,5.8433E-06,-5.7177E-15,2.5812E-16,1.4191E-05,-7.7089E-17,1.3298E-05,0,0,0,0,0,0,package://hexapod_description/meshes/femur2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod_description/meshes/femur2_link.STL,,leg_2-2,femur2_cs,femur2_joint,femur2_joint,revolute,0.0416000000000027,0.0222999999999845,0.0223000000000167,1.57079632679586,-0.785398163397445,0,coxa2_link,0,0,-1,0,0,0,0,,,,,,,,
tibia2_link,0.059001,1.1755E-05,0.023149,0,0,0,0.01779,1.2507E-06,2.2797E-10,-4.1061E-08,1.4708E-05,1.1166E-12,1.421E-05,0,0,0,0,0,0,package://hexapod_description/meshes/tibia2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod_description/meshes/tibia2_link.STL,,foot-2,tibia2_cs,tibia2_joint,tibia2_joint,revolute,0.0676799999999998,0,0,0,0,-1.5707963267949,femur2_link,0,0,-1,0,0,0,0,,,,,,,,
coxa3_link,0.020942,-0.00068477,0.022801,0,0,0,0.014952,1.9233E-06,-9.8935E-09,-7.1619E-09,2.0505E-06,-2.2651E-11,2.0561E-06,0,0,0,0,0,0,package://hexapod_description/meshes/coxa3_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod_description/meshes/coxa3_link.STL,,joint-3,coxa3_cs,coxa3_joint,coxa3_joint,revolute,-0.121165246712168,0.0606959032945723,-0.0221499999999985,0,0,2.3188675741236,base_link,0,0,-1,0,0,0,0,,,,,,,,
femur3_link,0.033855,-6.6613E-16,0.021445,0,0,0,0.059431,5.8433E-06,-1.2444E-15,2.7395E-21,1.4191E-05,3.5188E-20,1.3298E-05,0,0,0,0,0,0,package://hexapod_description/meshes/femur3_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod_description/meshes/femur3_link.STL,,leg_2-3,femur3_cs,femur3_joint,femur3_joint,revolute,0.0416000000000026,0.0222999999999987,0.0223000000000024,1.57079632679496,-0.785398163397445,0,coxa3_link,0,0,-1,0,0,0,0,,,,,,,,
tibia3_link,0.059001,1.1754E-05,0.023149,0,0,0,0.01779,1.2507E-06,2.2638E-10,-4.1072E-08,1.4708E-05,7.8698E-13,1.421E-05,0,0,0,0,0,0,package://hexapod_description/meshes/tibia3_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod_description/meshes/tibia3_link.STL,,foot-3,tibia3_cs,tibia3_joint,tibia3_joint,revolute,0.0676799999999997,0,0,0,0,-1.5707963267949,femur3_link,0,0,-1,0,0,0,0,,,,,,,,
coxa4_link,0.0209415537659286,-0.000684770999469175,0.0228008660035498,0,0,0,0.0149522376369557,1.92331382569808E-06,-9.89347318719952E-09,-7.1619037159678E-09,2.0504964217959E-06,-2.26510185602214E-11,2.0560870538772E-06,0,0,0,0,0,0,package://hexapod_description/meshes/coxa4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/coxa4_link.STL,,joint-4,coxa4_cs,coxa4_joint,coxa4_joint,revolute,0.121195903294573,-0.0606652467121672,-0.022149999999999,0,0,-0.822725079466195,base_link,0,0,-1,0,0,0,0,,,,,,,,
femur4_link,0.0338552747728859,-6.80011602582908E-16,0.0214450718735523,0,0,0,0.0594309738157123,5.84328514864472E-06,-1.24439240819553E-15,2.13670981882845E-21,1.41910518050068E-05,3.44048245388693E-20,1.3298292867323E-05,0,0,0,0,0,0,package://hexapod_description/meshes/femur4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/femur4_link.STL,,leg_2-4,femur4_cs,femur4_joint,femur4_joint,revolute,0.0416000000000027,0.0222999999999989,0.0223000000000022,1.57079632679494,-0.785398163397445,0,coxa4_link,0,0,-1,0,0,0,0,,,,,,,,
tibia4_link,0.0590007960502643,1.17541643124275E-05,0.0231485958132372,0,0,0,0.0177903764535731,1.25068638966138E-06,2.26377289497951E-10,-4.10715036751486E-08,1.47079812768053E-05,7.86982016328868E-13,1.42098210150457E-05,0,0,0,0,0,0,package://hexapod_description/meshes/tibia4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/tibia4_link.STL,,foot-4,tibia4_cs,tibia4_joint,tibia4_joint,revolute,0.0676799999999997,0,0,0,0,-1.5707963267949,femur4_link,0,0,-1,0,0,0,0,,,,,,,,
coxa5_link,0.0209415515934279,-0.000684771371421158,0.0228008700808051,0,0,0,0.0149522392497564,1.92331378942424E-06,-9.89341313046527E-09,-7.16191515834928E-09,2.05049666846284E-06,-2.26343030805588E-11,2.05608728180167E-06,0,0,0,0,0,0,package://hexapod_description/meshes/coxa5_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod_description/meshes/coxa5_link.STL,,joint-5,coxa5_cs,coxa5_joint,coxa5_joint,revolute,0,-0.0866973593128807,-0.022149999999999,0,0,-1.60812324286364,base_link,0,0,-1,0,0,0,0,,,,,,,,
